partition,type,job-name,NumFiles,cpus-per-task,mem,threads,timelimit
regular,lib,MQ-1,2,10,40,2,24:00:00
regular,lib,MQ-2,2,12,80,8,24:00:00
regular,lib,MQ-3,2,14,120,16,24:00:00
regular,lib,MQ-4,2,16,160,32,24:00:00
regular,lib,MQ-5,2,18,200,64,24:00:00
regular,lib,MQ-6,5,10,40,2,24:00:00
regular,lib,MQ-7,5,12,80,8,24:00:00
regular,lib,MQ-8,5,14,120,16,24:00:00
regular,lib,MQ-9,5,16,160,32,24:00:00
regular,lib,MQ-10,5,18,200,64,24:00:00
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,