partition,jobname,numfiles,cpuspertask,mem,gres,threads,timelimit,constraints,num_callers,chunks_per_runner
gpuq,ONTgup-1-128,1,24,124,gpu:A30:1,8,30:00,,1,128
gpuq,ONTgup-1-256,1,24,124,gpu:A30:1,8,30:00,,1,256
gpuq,ONTgup-1-384,1,24,124,gpu:A30:1,8,30:00,,1,384
gpuq,ONTgup-1-512,1,24,124,gpu:A30:1,8,30:00,,1,512
gpuq,ONTgup-1-640,1,24,124,gpu:A30:1,8,30:00,,1,640
gpuq,ONTgup-1-768,1,24,124,gpu:A30:1,8,30:00,,1,768
gpuq,ONTgup-1-896,1,24,124,gpu:A30:1,8,30:00,,1,896
gpuq,ONTgup-1-1024,1,24,124,gpu:A30:1,8,30:00,,1,1024
gpuq,ONTgup-1-1152,1,24,124,gpu:A30:1,8,30:00,,1,1152
gpuq,ONTgup-1-1280,1,24,124,gpu:A30:1,8,30:00,,1,1280
gpuq,ONTgup-1-1408,1,24,124,gpu:A30:1,8,30:00,,1,1408
gpuq,ONTgup-1-1536,1,24,124,gpu:A30:1,8,30:00,,1,1536
gpuq,ONTgup-1-1664,1,24,124,gpu:A30:1,8,30:00,,1,1664
gpuq,ONTgup-1-1792,1,24,124,gpu:A30:1,8,30:00,,1,1792
gpuq,ONTgup-1-1920,1,24,124,gpu:A30:1,8,30:00,,1,1920
gpuq,ONTgup-1-2048,1,24,124,gpu:A30:1,8,30:00,,1,2048
gpuq,ONTgup-1-2176,1,24,124,gpu:A30:1,8,30:00,,1,2176
gpuq,ONTgup-1-2304,1,24,124,gpu:A30:1,8,30:00,,1,2304
gpuq,ONTgup-1-2432,1,24,124,gpu:A30:1,8,30:00,,1,2432
gpuq,ONTgup-1-2560,1,24,124,gpu:A30:1,8,30:00,,1,2560
gpuq,ONTgup-2-128,1,48,248,gpu:A30:2,8,30:00,,2,128
gpuq,ONTgup-2-256,1,48,248,gpu:A30:2,8,30:00,,2,256
gpuq,ONTgup-2-384,1,48,248,gpu:A30:2,8,30:00,,2,384
gpuq,ONTgup-2-512,1,48,248,gpu:A30:2,8,30:00,,2,512
gpuq,ONTgup-2-640,1,48,248,gpu:A30:2,8,30:00,,2,640
gpuq,ONTgup-2-768,1,48,248,gpu:A30:2,8,30:00,,2,768
gpuq,ONTgup-2-896,1,48,248,gpu:A30:2,8,30:00,,2,896
gpuq,ONTgup-2-1024,1,48,248,gpu:A30:2,8,30:00,,2,1024
gpuq,ONTgup-2-1152,1,48,248,gpu:A30:2,8,30:00,,2,1152
gpuq,ONTgup-2-1280,1,48,248,gpu:A30:2,8,30:00,,2,1280
gpuq,ONTgup-2-1408,1,48,248,gpu:A30:2,8,30:00,,2,1408
gpuq,ONTgup-2-1536,1,48,248,gpu:A30:2,8,30:00,,2,1536
gpuq,ONTgup-2-1664,1,48,248,gpu:A30:2,8,30:00,,2,1664
gpuq,ONTgup-2-1792,1,48,248,gpu:A30:2,8,30:00,,2,1792
gpuq,ONTgup-2-1920,1,48,248,gpu:A30:2,8,30:00,,2,1920
gpuq,ONTgup-2-2048,1,48,248,gpu:A30:2,8,30:00,,2,2048
gpuq,ONTgup-2-2176,1,48,248,gpu:A30:2,8,30:00,,2,2176
gpuq,ONTgup-2-2304,1,48,248,gpu:A30:2,8,30:00,,2,2304
gpuq,ONTgup-2-2432,1,48,248,gpu:A30:2,8,30:00,,2,2432
gpuq,ONTgup-2-2560,1,48,248,gpu:A30:2,8,30:00,,2,2560
gpuq,ONTgup-3-128,1,72,372,gpu:A30:3,8,30:00,,3,128
gpuq,ONTgup-3-256,1,72,372,gpu:A30:3,8,30:00,,3,256
gpuq,ONTgup-3-384,1,72,372,gpu:A30:3,8,30:00,,3,384
gpuq,ONTgup-3-512,1,72,372,gpu:A30:3,8,30:00,,3,512
gpuq,ONTgup-3-640,1,72,372,gpu:A30:3,8,30:00,,3,640
gpuq,ONTgup-3-768,1,72,372,gpu:A30:3,8,30:00,,3,768
gpuq,ONTgup-3-896,1,72,372,gpu:A30:3,8,30:00,,3,896
gpuq,ONTgup-3-1024,1,72,372,gpu:A30:3,8,30:00,,3,1024
gpuq,ONTgup-3-1152,1,72,372,gpu:A30:3,8,30:00,,3,1152
gpuq,ONTgup-3-1280,1,72,372,gpu:A30:3,8,30:00,,3,1280
gpuq,ONTgup-3-1408,1,72,372,gpu:A30:3,8,30:00,,3,1408
gpuq,ONTgup-3-1536,1,72,372,gpu:A30:3,8,30:00,,3,1536
gpuq,ONTgup-3-1664,1,72,372,gpu:A30:3,8,30:00,,3,1664
gpuq,ONTgup-3-1792,1,72,372,gpu:A30:3,8,30:00,,3,1792
gpuq,ONTgup-3-1920,1,72,372,gpu:A30:3,8,30:00,,3,1920
gpuq,ONTgup-3-2048,1,72,372,gpu:A30:3,8,30:00,,3,2048
gpuq,ONTgup-3-2176,1,72,372,gpu:A30:3,8,30:00,,3,2176
gpuq,ONTgup-3-2304,1,72,372,gpu:A30:3,8,30:00,,3,2304
gpuq,ONTgup-3-2432,1,72,372,gpu:A30:3,8,30:00,,3,2432
gpuq,ONTgup-3-2560,1,72,372,gpu:A30:3,8,30:00,,3,2560
gpuq,ONTgup-4-128,1,96,496,gpu:A30:4,8,30:00,,4,128
gpuq,ONTgup-4-256,1,96,496,gpu:A30:4,8,30:00,,4,256
gpuq,ONTgup-4-384,1,96,496,gpu:A30:4,8,30:00,,4,384
gpuq,ONTgup-4-512,1,96,496,gpu:A30:4,8,30:00,,4,512
gpuq,ONTgup-4-640,1,96,496,gpu:A30:4,8,30:00,,4,640
gpuq,ONTgup-4-768,1,96,496,gpu:A30:4,8,30:00,,4,768
gpuq,ONTgup-4-896,1,96,496,gpu:A30:4,8,30:00,,4,896
gpuq,ONTgup-4-1024,1,96,496,gpu:A30:4,8,30:00,,4,1024
gpuq,ONTgup-4-1152,1,96,496,gpu:A30:4,8,30:00,,4,1152
gpuq,ONTgup-4-1280,1,96,496,gpu:A30:4,8,30:00,,4,1280
gpuq,ONTgup-4-1408,1,96,496,gpu:A30:4,8,30:00,,4,1408
gpuq,ONTgup-4-1536,1,96,496,gpu:A30:4,8,30:00,,4,1536
gpuq,ONTgup-4-1664,1,96,496,gpu:A30:4,8,30:00,,4,1664
gpuq,ONTgup-4-1792,1,96,496,gpu:A30:4,8,30:00,,4,1792
gpuq,ONTgup-4-1920,1,96,496,gpu:A30:4,8,30:00,,4,1920
gpuq,ONTgup-4-2048,1,96,496,gpu:A30:4,8,30:00,,4,2048
gpuq,ONTgup-4-2176,1,96,496,gpu:A30:4,8,30:00,,4,2176
gpuq,ONTgup-4-2304,1,96,496,gpu:A30:4,8,30:00,,4,2304
gpuq,ONTgup-4-2432,1,96,496,gpu:A30:4,8,30:00,,4,2432
gpuq,ONTgup-4-2560,1,96,496,gpu:A30:4,8,30:00,,4,2560
