partition,type,jobname,numfiles,cpuspertask,mem,threads,timelimit
regular,lib,DiaNN-1,2,10,40,2,24:00:00
regular,lib,DiaNN-2,2,12,80,8,24:00:00
regular,lib,DiaNN-3,2,14,120,16,24:00:00
regular,lib,DiaNN-4,2,16,160,32,24:00:00
regular,lib,DiaNN-5,2,18,200,64,24:00:00
regular,lib,DiaNN-6,10,10,40,2,24:00:00
regular,lib,DiaNN-7,10,12,80,8,24:00:00
regular,lib,DiaNN-8,10,14,120,16,24:00:00
regular,lib,DiaNN-9,10,16,160,32,24:00:00
regular,lib,DiaNN-10,10,18,200,64,24:00:00
regular,lib,DiaNN-11,21,10,40,2,48:00:00
regular,lib,DiaNN-12,21,12,80,8,48:00:00
regular,lib,DiaNN-13,21,14,120,16,48:00:00
regular,lib,DiaNN-14,21,16,160,32,48:00:00
regular,lib,DiaNN-15,21,18,200,64,48:00:00
regular,libfree,DiaNN-16,2,10,40,2,24:00:00
regular,libfree,DiaNN-17,2,12,80,8,24:00:00
regular,libfree,DiaNN-18,2,14,120,16,24:00:00
regular,libfree,DiaNN-19,2,16,160,32,24:00:00
regular,libfree,DiaNN-20,2,18,200,64,24:00:00
regular,libfree,DiaNN-21,10,10,40,2,24:00:00
regular,libfree,DiaNN-22,10,12,80,8,24:00:00
regular,libfree,DiaNN-23,10,14,120,16,24:00:00
regular,libfree,DiaNN-24,10,16,160,32,24:00:00
regular,libfree,DiaNN-25,10,18,200,64,24:00:00
regular,libfree,DiaNN-26,21,10,40,2,48:00:00
regular,libfree,DiaNN-27,21,12,80,8,48:00:00
regular,libfree,DiaNN-28,21,14,120,16,48:00:00
regular,libfree,DiaNN-29,21,16,160,32,48:00:00
regular,libfree,DiaNN-30,21,18,200,64,48:00:00